"x","y","z"
-124.570483163896,-136.099624841684,16.2828891164207
-145.178865417008,-120.415661530161,19.2922709789411
-132.314586351106,-125.090169741779,18.6075369102379
-133.311675038266,-161.310307124053,46.6926902593454
-141.323356076001,-143.817783580607,53.9888812706804
-134.91116681436,-151.96764121201,51.3194223884255
-158.476510656078,-121.940145344191,18.848736021994
-137.127827385621,-169.258193320816,41.3826109172191
-144.62593148759,-174.299787332886,36.6145659147903
-163.773775078212,-157.336022429734,57.3153943105503
-158.188458673737,-157.488391198557,59.5787846338416
-152.768458782455,-160.083942361819,59.9304042198914
-148.991848101978,-164.452099974545,58.2295074588122
-147.844813859038,-169.397490319501,54.9784541207868
-149.719714439215,-173.741073894357,51.2229092672327
-153.865742406773,-176.023338141203,48.1363014723797
-169.017360635349,-145.111290068549,46.0612002986225
-161.421480108713,-140.025437559989,50.8167263414381
-151.200172169146,-139.633579087425,53.7092002318877
-168.112905028228,-159.813688047434,53.921407767387
-159.389612150992,-175.897024116209,46.426406533879
-164.922296940859,-173.481815499188,46.2375434960969
-168.586234672517,-168.933261252908,47.7757261089752
-169.794757249951,-163.961845620612,50.4732914495787
-160.999859764408,-181.71067179631,55.629963193098
-158.3206611044,-180.480183367125,58.2877412709378
-164.686481437648,-181.359591718167,53.9695126395802
-168.398066642154,-179.509698773567,53.657494067421
-171.039937895975,-176.548679229595,54.9017452271604
-172.004314640186,-173.378054195697,57.2444661559583
-171.027496089632,-170.858558359014,60.1519502448517
-168.298822706849,-169.5911418385,62.9560428359944
-164.575439342303,-169.949570945646,64.9048834738148
-160.878693857046,-171.834356706587,65.2964654464572
-158.222015705495,-174.760404794357,63.9727488429596
-157.294382389448,-177.923711250568,61.3415684023798
-172.655352747223,-153.075784918554,40.7268407731223
-173.279832153138,-201.05358624633,71.8936563320876
-171.159458439591,-200.626462108386,74.912753375384
-176.605549094968,-200.18397643952,69.9499945861349
-180.174959115111,-198.150396480909,69.5671381827903
-177.9230743383,-191.35306773405,83.5010498712039
-174.301186960451,-193.371634004241,84.4484720377641
-171.683487707594,-196.186286344457,82.7130450601031
-170.648412901693,-198.899417651832,78.6918790644845
-177.921020773808,-208.612938284826,77.9715918380524
-175.874147956586,-208.523460386073,81.9894739638013
-180.47525153134,-207.149135795849,75.2882972268863
-175.443729524821,-203.988118885186,92.3936234530973
-175.185058431301,-206.866753192441,87.2518185313666
-182.941586564996,-195.385686292333,70.8789674469533
-184.243328214064,-192.738872625673,73.4867791501463
-183.769459101421,-191.007547676868,76.6799455998441
-181.504982626297,-190.545965289079,80.128779116195
-184.497565520564,-205.007787616119,75.3774309265968
-187.568862622082,-201.77394569727,76.3245452274324
-182.127674655727,-198.464278580225,92.8315584877414
-178.591280589041,-201.442286645245,94.7512946753249
-184.025892162831,-205.158646261588,79.2550639446676
-182.74708710706,-204.418692608651,83.569804614172
-180.954597137169,-203.335243816914,88.870544640128
-189.062510942125,-200.118985223088,79.5387171565298
-188.521256039251,-198.63637761971,83.4806729289023
-185.855894593457,-198.201988291366,88.1314907821172
-123.119126188574,-148.724879369767,13.6635167795276
-129.399325937225,-159.232256610323,11.6399005907657
-138.083949290326,-167.627158341302,9.43559407271634
-151.233690998439,-169.498310058921,7.86881473097243
-167.375128180778,-130.503147353151,17.2161000648825
-154.776864125437,-174.811226609074,33.8124999184109
-163.631839998507,-164.474593927239,8.41637440056479
-171.621241647558,-154.056032729307,10.8601867017596
-173.055487092117,-141.151335778894,14.5674969711565
-164.563138013905,-170.672926009461,34.1885971486586
-171.047601848631,-162.490930753331,36.1996187193361
-131.69441819635,-136.344346449848,-37.9080939335261
-128.754296460928,-149.339266511138,-36.6060016902572
-139.92134387581,-124.282578834767,-37.7421263504742
-134.702568414222,-161.709513789917,-33.0055237442351
-166.37428299159,-120.784989210623,-31.0712018122223
-153.220348294467,-119.683525386617,-34.7987669265178
-144.265540838429,-171.106131321089,-29.4973984940958
-157.744893030853,-172.159844668178,-26.5628512806708
-175.795122512958,-130.708112825223,-26.9235442624376
-170.55773315875,-167.290001305694,-24.6082865519795
-178.650394484612,-156.289710073323,-23.4831172758776
-181.733284280153,-142.712010760614,-23.9795269137773
-153.533854793202,-176.779892234832,-81.4638125811006
-154.704176591598,-155.309302409412,-93.3687265993937
-150.493063107233,-166.910278633044,-89.3487104605379
-175.966228120403,-138.978146991278,-90.2125493800617
-163.173462283127,-143.617723716504,-95.090214777543
-161.000988460088,-184.64202454373,-71.4370376078723
-194.451816251379,-145.788376210436,-75.2443465917399
-187.350359306159,-138.86138508411,-83.7912097850582
-172.603918553347,-184.666546528665,-64.0916798169476
-184.804493372242,-179.064849841725,-59.6765933635621
-193.961903767516,-168.339331728289,-60.8979773193727
-198.166645043211,-156.254229244531,-65.8666205974858
-179.532955764789,-179.023376646568,-125.464120247769
-174.230093184032,-188.619982424068,-120.237605585014
-187.564859358978,-169.002445441226,-127.883635927888
-175.785238695642,-196.407949201461,-110.342491053073
-208.076583282483,-162.653148291131,-115.015361706914
-198.443591977932,-164.238730802584,-122.685451166004
-181.153981698962,-202.125046683747,-99.0910121103641
-190.10325879676,-200.297143629798,-90.9184580193695
-200.631678496703,-194.592832546754,-85.1349232532184
-202.217948890705,-207.697864429327,-106.69256798136
-210.542344520423,-204.017953239888,-102.585649604181
-209.767093578032,-185.074324086345,-87.9518014710645
-215.236872232361,-175.981355929242,-93.8250185224568
-213.691953393006,-167.523401795761,-104.396279467595
-216.816066211925,-196.410987015913,-104.409683319017
-220.71258152659,-189.410232377219,-108.545433664535
-220.543322842993,-183.659243630823,-116.431490056221
-191.585877008149,-205.950316011501,-121.010307081151
-195.469906878397,-193.523963901768,-132.691127937105
-191.219629699434,-200.019753199992,-129.300464312588
